0.000	0.3277
0.010	0.3288
0.020	0.3383
0.030	0.3541
0.040	0.3935
0.050	0.4733
0.060	0.5890
0.070	0.7056
0.080	0.7996
0.090	0.8767
0.100	0.9364
0.110	0.9715
0.120	1.0028
0.130	1.0207
0.140	1.0349
0.150	1.0498
0.160	1.0571
0.170	1.0634
0.180	1.0638
0.190	1.0588
0.200	1.0582
0.210	1.0557
0.220	1.0451
0.230	1.0311
0.240	1.0203
0.250	1.0127
0.260	1.0010
0.270	0.9797
0.280	0.9506
0.290	0.9162
0.300	0.8717
0.310	0.8177
0.320	0.7535
0.330	0.6938
0.340	0.6298
0.350	0.5712
0.360	0.5324
0.370	0.5222
0.380	0.5302
0.390	0.5371
0.400	0.5358
0.410	0.5319
0.420	0.5270
0.430	0.5191
0.440	0.5091
0.450	0.4993
0.460	0.4880
0.470	0.4759
0.480	0.4671
0.490	0.4606
0.500	0.4520
0.510	0.4445
0.520	0.4368
0.530	0.4292
0.540	0.4247
0.550	0.4206
0.560	0.4144
0.570	0.4074
0.580	0.4001
0.590	0.3968
0.600	0.3970
0.610	0.3963
0.620	0.3902
0.630	0.3848
0.640	0.3831
0.650	0.3826
0.660	0.3816
0.670	0.3804
0.680	0.3789
0.690	0.3778
0.700	0.3760
0.710	0.3733
0.720	0.3699
0.730	0.3662
0.740	0.3616
0.750	0.3584
0.760	0.3557
0.770	0.3526
0.780	0.3493
0.790	0.3483
0.800	0.3460
0.810	0.3428
0.820	0.3406
0.830	0.3393
0.840	0.3351
0.850	0.3277
