voltage,V,OUT,IN,0,1.00E+05
resistor,A5,IN,n32,0,1.82E+06
resistor,A15,IN,n26,0,4.53E+06
resistor,A6,IN,n31,0,2.85E+08
resistor,A20,IN,n31,0,2.84E+08
resistor,A12,n32,n46,0,6.09E+07
resistor,A16,n26,n37,0,7.80E+07
resistor,A13,n32,n33,0,1.72E+07
resistor,A17,n26,n27,0,2.14E+07
resistor,A56,n31,n50,0,2.05E+07
resistor,A57,n50,n50x,0,3.70E+08
resistor,A57x,n50x,OUT,0,3.70E+08
resistor,A58,n50,n50y,0,3.70E+08
resistor,A58x,n50y,OUT,0,3.70E+08
resistor,A59,n50,n49,0,1.51E+7
resistor,A60,n49,n47,0,3.28E+07
resistor,A61,n49,n48,0,3.28E+07
resistor,A62,n47,n45,0,4.13E+08
resistor,A63,n48,n38,0,4.13E+08
resistor,A64,n47,n47x,0,9.68E+08
resistor,A64x,n47x,OUT,0,9.68E+08
resistor,A65,n48,n48x,0,9.68E+08
resistor,A65x,n48x,OUT,0,9.68E+08
resistor,A66,n45,n44,0,1.95E+06
resistor,A67,n38,n39,0,1.95E+06
resistor,A68,n43,n42,0,1.45E+08
resistor,A69,n40,n41,0,1.45E+08
resistor,A70,n43,n36,0,2.42E+07
resistor,A73,n40,n30,0,2.42E+07
resistor,A71,n36,n36x,0,3.00E+09
resistor,A71x,n36x,OUT,0,3.00E+09
resistor,A74,n30,n30x,0,3.00E+09
resistor,A74x,n30x,OUT,0,3.00E+09
resistor,A72,n36,n36y,0,2.96E+09
resistor,A72x,n36y,OUT,0,2.96E+09
resistor,A75,n30,n30y,0,2.96E+09
resistor,A75x,n30y,OUT,0,2.96E+09
resistor,A76,n42,n42x,0,5.47E+08
resistor,A76x,n42x,OUT,0,5.47E+08
resistor,A78,n41,n41x,0,5.47E+08
resistor,A78x,n41x,OUT,0,5.47E+08
resistor,A77,n41,n42,0,1.50E+08
resistor,A79,n46,n45,0,8.32E+06
resistor,A81,n37,n38,0,8.32E+06
resistor,A80,n46,n46x,0,7.44E+09
resistor,A80x,n46x,OUT,0,7.44E+09
resistor,A82,n37,n37x,0,7.44E+09
resistor,A82x,n37x,OUT,0,7.44E+09
resistor,A83,n33,n34,0,1.09E+08
resistor,A85,n27,n28,0,6.60E+07
resistor,A84,n33,n33x,0,4.27E+09
resistor,A84x,n33x,OUT,0,4.27E+09
resistor,A86,n27,n27x,0,4.27E+09
resistor,A86x,n27x,OUT,0,4.27E+09
resistor,A87,n34,n35,0,1.41E+08
resistor,A89,n28,n29,0,1.41E+08
resistor,A88,n34,n34x,0,2.97E+09
resistor,A88x,n34x,OUT,0,2.97E+09
resistor,A90,n28,n28x,0,2.97E+09
resistor,A90x,n28x,OUT,0,2.97E+09
resistor,A91,n35,n35x,0,2.04E+09
resistor,A91x,n35x,OUT,0,2.04E+09
resistor,A93,n29,n29x,0,1.23E+09
resistor,A93x,n29x,OUT,0,1.23E+09
resistor,A92,n35,n35y,0,2.06E+09
resistor,A92x,n35y,OUT,0,2.06E+09
resistor,A94,n29,n29y,0,2.06E+09
resistor,A94x,n29y,OUT,0,2.06E+09
resistor,A100,n44,n44x,0,2.00E+09
resistor,A100x,n44x,OUT,0,2.00E+09
resistor,A102,n39,n39x,0,2.00E+09
resistor,A102x,n39x,OUT,0,2.00E+09
resistor,A101,n44,n43,0,2.05E+06
resistor,A103,n39,n40,0,2.05E+06

node,IN,1.00E+05
node,n10,1.00E+05
node,n26,1.00E+05
node,n27,1.00E+05
node,n28,1.00E+05
node,n29,1.00E+05
node,n3,1.00E+05
node,n30,1.00E+05
node,n31,1.00E+05
node,n32,1.00E+05
node,n33,1.00E+05
node,n34,1.00E+05
node,n35,1.00E+05
node,n36,1.00E+05
node,n37,1.00E+05
node,n38,1.00E+05
node,n39,1.00E+05
node,n40,1.00E+05
node,n41,1.00E+05
node,n42,1.00E+05
node,n43,1.00E+05
node,n44,1.00E+05
node,n45,1.00E+05
node,n46,1.00E+05
node,n47,1.00E+05
node,n48,1.00E+05
node,n49,1.00E+05
node,n50,1.00E+05
node,n6,1.00E+05
node,n7,1.00E+05
node,n50x,1.00E+05
node,n50y,1.00E+05
node,n47x,1.00E+05
node,n48x,1.00E+05
node,n36x,1.00E+05
node,n30x,1.00E+05
node,n36y,1.00E+05
node,n30y,1.00E+05
node,n42x,1.00E+05
node,n41x,1.00E+05
node,n46x,1.00E+05
node,n37x,1.00E+05
node,n33x,1.00E+05
node,n27x,1.00E+05
node,n34x,1.00E+05
node,n28x,1.00E+05
node,n35x,1.00E+05
node,n29x,1.00E+05
node,n35y,1.00E+05
node,n29y,1.00E+05
node,n44x,1.00E+05
node,n39x,1.00E+05
ground,OUT,1.00E+05
